*------------------------------------------------------------------------------------------
* system regs
*------------------------------------------------------------------------------------------
* RegName           	RegAddr     RegMask      R     W     Description
*------------------------------------------------------------------------------------------
sysregs					00000000    ffffffff     1     0
board_id				00000000    ffffffff     1     0
  board_id_char1		00000000    ff000000     1     0
  board_id_char2		00000000    00ff0000     1     0
  board_id_char3		00000000    0000ff00     1     0
  board_id_char4		00000000    000000ff     1     0
rev_id					00000001    ffffffff     1     0    
  rev_id_char1			00000001    ff000000     1     0
  rev_id_char2 			00000001    00ff0000     1     0
  rev_id_char3			00000001    0000ff00     1     0
  rev_id_char4			00000001    000000ff     1     0
firmware_id				00000002    ffffffff     1     0
  ver_major				00000002    f0000000     1     0
  ver_minor				00000002    0f000000     1     0
  ver_build				00000002    00ff0000     1     0
  firmware_yy			00000002    0000fe00     1     0
  firmware_mm			00000002    000001e0     1     0
  firmware_dd			00000002    0000001f     1     0
*  		                
test					00000003    ffffffff     1     1
*		                
ctrl					00000004    ffffffff     1     1		
  pcieclk_pll_sel		00000004    00000001     1     1 	
  pcieclk_mr			00000004    00000002     1     1 	
  pcieclk_fsel1			00000004    00000004     1     1 	
  pcieclk_fsel0			00000004    00000008     1     1 	
  cdce_powerup			00000004    00000010     1     1       
  cdce_refsel			00000004	00000020	 1	   1	   
  cdce_sync		    	00000004    00000040     1     1       
  cdce_ctrl_sel    		00000004    00000080     1     1       		
  cdce_xpoint_out1		00000004    00400000     1     1       
  cdce_xpoint_out2		00000004    00000100     1     1  * 
  cdce_xpoint_out3		00000004    00000200     1     1  * 
  cdce_xpoint_out4		00000004    00000400     1     1  *      
  ttc_xpoint_B_out4		00000004    00000800     1     1  * osc_coax_sel     
  ttc_xpoint_A_out1		00000004    00003000     1     1  * master_xpoint[1:0]		     
  ttc_xpoint_A_out2		00000004    0000c000     1     1  * master_xpoint[3:2]		     
  ttc_xpoint_A_out3		00000004    00030000     1     1  * master_xpoint[5:4]		     
  ttc_xpoint_A_out4		00000004    000c0000     1     1  * master_xpoint[7:6]		     
  ttc_xpoint_B_out1		00000004    00300000     1     1  * master_xpoint[9:8]		     
  tclkb_tclkd_en		00000004    00800000     1     1       
  mgt_xpoint_out1		00000004    03000000     1     1  * osc_xpoint_ctrl[1:0]      
